id|utterance|description|emotion|date_created|status|gender|age|level|audio_recording|user_id
23|Pettus served in the Western Theater of the American Civil War.|{user_id} said {transcription}.|Neutral|2022-05-13 13:40:12.339940|Complete|Female|20s|0|wavs/recorded_audio_gMEofF4.webm|3
24|The K and P tracks no longer exist.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {exists}.|Sarcastic|2022-05-13 13:42:42.621310|Complete|Female|20s|3|wavs/recorded_audio_CUfX2el.webm|3
25|Little things please little minds|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {things} and {please}.|Sad|2022-05-13 13:44:28.775203|Complete|Female|20s|5|wavs/recorded_audio_JPvzDSf.webm|3
26|Probabilistic risk assessment is one analysis strategy usually employed in science and engineering.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {Probabilistic}, {science} and {engineering}.|Disgust|2022-05-13 13:47:09.329330|Complete|Female|20s|4|wavs/recorded_audio_gzdiEvX.webm|3
27|However, there are other forces changing the rotation rate of the Earth.|Placing emphasis on {Eartch}, {user_id} said {transcription}.|Neutral|2022-05-13 13:49:17.411223|Complete|Female|20s|0|wavs/recorded_audio_4yq1hHa.webm|3
28|After retirement, he functioned as Chairman of the Hyderabad State Railway Company.|{user_id} said {transcription} With a {emotion} voice.|Neutral|2022-05-13 13:50:56.842715|Complete|Female|20s|0|wavs/recorded_audio_167fAwe.webm|3
29|It is the county seat of Summit County.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {summit} and {seat}.|Sad|2022-05-13 13:51:50.835944|Complete|Female|20s|6|wavs/recorded_audio_pX8WOWJ.webm|3
30|As the Roaring Twenties wound down, Sweet's career faltered with the advent of talkies.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {Roaring}, {wound down}, {career} and {talkies}.|Sarcastic|2022-05-13 13:53:49.624323|Complete|Female|20s|5|wavs/recorded_audio_XF2mfcQ.webm|3
31|The Mega Drive version was released exclusively in Japan.|With a {emotion} voice, {user_id} said {transcription}.|Neutral|2022-05-20 10:13:32.395431|Complete|Female|20s|0|wavs/recorded_audio_1gPzPKV.webm|3
32|"The title track lyrics say ""See you later then... alive or dead""."|Placing emphasis on {say}, {alive} and {dead}, {user_id} said {transcription}.|Sad|2022-05-20 10:15:45.305724|Complete|Female|20s|4|wavs/recorded_audio_2QDgQB1.webm|3
33|They however can be stored with any extension.|Placing emphasis on {They}, {user_id} said {transcription}.|Happy|2022-05-20 10:17:01.462194|Complete|Female|20s|5|wavs/recorded_audio_YHfHqtz.webm|3
34|The vamp of the shoe had a gold buckle.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {vamp} and {gold}.|Neutral|2022-05-20 10:17:56.708488|Complete|Female|20s|0|wavs/recorded_audio_ImCpCJo.webm|3
35|He now commits crimes which center around pennies.|Placing emphasis on {Commits}, {crimes} and {pennies}, {user_id} said {transcription}.|Excited|2022-05-20 10:19:51.213728|Complete|Female|20s|8|wavs/recorded_audio_ENb5Lpm.webm|3
36|"""Ooh Ooh"" was released as a promotional single, but also failed to find success."|In an {emotion} voice, {user_id} says {transcription}. emphasising on {Ooh Ooh}, {promotional} and {failed}.|Happy|2022-05-20 10:21:30.005841|Complete|Female|20s|4|wavs/recorded_audio_o4364xW.webm|3
37|He recognised the Council House and the Highgate Ridge.|{user_id} said {transcription}.|Neutral|2022-05-20 10:23:26.934507|Complete|Female|20s|0|wavs/recorded_audio_SMjeiUS.webm|3
38|He is buried in the Massanutten-Cross Keys Cemetery, Rockingham County, Virginia.|{user_id} said {transcription} With a {emotion} voice.|Neutral|2022-05-20 10:24:45.331846|Complete|Female|20s|0|wavs/recorded_audio_Oy8ANqo.webm|3
39|Archie Moffam is an Englishman in New York.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {Archie Moffam} and {Englishman}.|Neutral|2022-05-20 10:25:41.649753|Complete|Female|20s|0|wavs/recorded_audio_Z5eKskP.webm|3
40|Non-resonant excitation occurs when the incoming radiation promotes a core electron to the continuum.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {Non-resonant}, {excitation}, {incoming}, {core}, {electron} and {continuum}.|Excited|2022-05-20 10:49:14.711672|Complete|Female|20s|8|wavs/recorded_audio_JPhb61X.webm|3
41|The Bocuse Restaurant serves traditional French food using modern techniques.|Placing emphasis on {Bocuse}, {traditional}, {modern} and {techniques}, {user_id} said {transcription}.|Surprised|2022-05-20 10:53:17.330923|Complete|Female|20s|6|wavs/recorded_audio_hZTHwCT.webm|3
42|The dioces sold the building to the Province.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {dioces}, {sold} and {Province}.|Disgust|2022-05-20 10:59:03.289701|Complete|Female|20s|5|wavs/recorded_audio_2xmBUM0.webm|3
43|The original concrete station building has been demolished.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {original} and {demolished}.|Angry|2022-05-20 11:03:03.458320|Complete|Female|20s|9|wavs/recorded_audio_ej7C6C8.webm|3
44|Thus, a precedent was set.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {thus} and {set}.|Happy|2022-05-20 11:04:49.755948|Complete|Female|20s|5|wavs/recorded_audio_rMF5bCZ.webm|3
45|He appeared on a number of recordings, both as side-man and as leader.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {number}, {both} and {leader}.|Surprised|2022-05-20 11:06:04.522228|Complete|Female|20s|6|wavs/recorded_audio_74dvVMV.webm|3
46|They sought to keep Chiang Kai-shek out of Manchuria.|Placing emphasis on {sought}, {Chiang Kai-shek} and {Manchuria}, {user_id} said {transcription}.|Disgust|2022-05-20 11:10:45.196682|Complete|Female|20s|4|wavs/recorded_audio_m4UVnRO.webm|3
47|Combined Syrian, Iraqi and Jordanian counterattacks prevented any further Israeli gains.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {Syrian}, {Iraqi} and {Jordanian}.|Neutral|2022-05-20 11:14:28.027119|Complete|Female|20s|0|wavs/recorded_audio_7uatzGV.webm|3
48|The chair and rope were stored in a warehouse.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {chair}, {rope}, {warehouse}.|Angry|2022-05-20 11:15:32.850075|Complete|Female|20s|8|wavs/recorded_audio_GnEjH7C.webm|3
49|He promotes British industry and commerce both in the United States and at home.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {promotes}, {British industry}, {commerce} and {United States}.|Happy|2022-05-20 11:17:18.444324|Complete|Female|20s|5|wavs/recorded_audio_jCgXSRi.webm|3
50|For a simpler proof using Fubini's theorem, see the references.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {simpler}, {Fubini's theorem} and {see the references}.|Excited|2022-05-20 11:20:31.457984|Complete|Female|20s|6|wavs/recorded_audio_T42eXGN.webm|3
51|He played in the National Hockey League with the Florida Panthers.|{user_id} said {transcription} With a {emotion} voice.|Neutral|2022-06-03 10:48:54.135336|Complete|Female|20s|0|wavs/recorded_audio_4ErMBG8.webm|3
52|Our promise is Missouri State University's newest capital campaign.|Placing emphasis on {Promise}, {Missouri State} and {campaign}, {user_id} said {transcription}.|Sarcastic|2022-06-03 10:52:39.669161|Complete|Female|20s|2|wavs/recorded_audio_RMFS8QW.webm|3
53|Deaths arising from vessels in distress and from drowning are also common place.|{user_id} said {transcription} With a {emotion} voice.|Happy|2022-06-03 10:54:16.093715|Complete|Female|20s|0|wavs/recorded_audio_O5U0Rmx.webm|3
54|Junior Rotter and Sue Helen were sibling rivals.|{user_id} said {transcription} With a {emotion} voice.|Neutral|2022-06-19 13:37:34.439703|Complete|Female|20s|0|wavs/recorded_audio_Xzr8F3R.webm|3
55|That's the main idea.|{user_id} said {transcription}.|Sarcastic|2022-06-03 10:56:26.550675|Complete|Female|20s|2|wavs/recorded_audio_Abu6kpX.webm|3
56|With a bag of marshmallows.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {marshmallows}.|Disgust|2022-06-03 10:57:19.890487|Complete|Female|20s|2|wavs/recorded_audio_meAk8VX.webm|3
57|She may have killed her if Marat had not intervened.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {killed} and {if Marat}.|Sad|2022-06-03 11:00:12.749630|Complete|Female|20s|6|wavs/recorded_audio_pMzDf5v.webm|3
58|The reaction is called the Hajos-Parrish reaction or the Hajos-Parrish-Eder-Sauer-Wiechert reaction.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {reaction} and {Hajos-Parrish}.|Surprised|2022-06-03 11:04:53.941031|Complete|Female|20s|5|wavs/recorded_audio_OX7rIn1.webm|3
59|He represented Queensland and played in the English county scene at first class level.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {He}, {Queensland}, {English} and {first class level}.|Angry|2022-06-03 11:07:06.127212|Complete|Female|20s|8|wavs/recorded_audio_nX535py.webm|3
60|Before going into acting, he started an acid-jazz band where he was a drummer.|Placing emphasis on {he started}, {drummer} and {acid-jazz band}, {user_id} said {transcription}.|Excited|2022-06-03 11:09:01.512339|Complete|Female|20s|8|wavs/recorded_audio_0gNmgd9.webm|3
61|The Ministry of Public Security is the principal police authority.|{user_id} said {transcription} With a {emotion} voice.|Happy|2022-06-03 11:11:39.553009|Complete|Female|20s|3|wavs/recorded_audio_RasdZ7f.webm|3
62|En route, Henshaw stops leading the Manhunters which continue to their preprogrammed destinations.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {En route}, {stops}, {Manhunters} and {preprogrammed}.|Angry|2022-06-03 11:12:38.790945|Complete|Female|20s|7|wavs/recorded_audio_nR1VF0S.webm|3
63|And the stage design and sound system have major changes throughout the years.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {stage design} and {major}.|Disgust|2022-06-03 11:14:18.563676|Complete|Female|20s|5|wavs/recorded_audio_UfB4RXd.webm|3
64|When Admiral Adama threatens to shoot Cally, Tyrol backs down.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {threatens}.|Happy|2022-06-03 11:14:59.822782|Complete|Female|20s|4|wavs/recorded_audio_5405BKJ.webm|3
65|Mazak's North American headquarters are in Elsmere.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {Mazak's}, {North American} and {Elsmere}.|Angry|2022-06-03 11:16:25.647558|Complete|Female|20s|8|wavs/recorded_audio_NpA1Xjy.webm|3
66|These two games on home-and-away basis was separate from World Cup qualifying.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {two games}, {away}, {qualifying} and {separate}.|Disgust|2022-06-19 13:38:52.492475|Complete|Female|20s|5|wavs/recorded_audio_eVrrwJZ.webm|3
67|It was a semi-stressed part of the chassis and ran a dry sump.|Placing emphasis on {semi-stressed}, {dry} and {sump}, {user_id} said {transcription}.|Sad|2022-06-03 11:18:14.397562|Complete|Female|20s|7|wavs/recorded_audio_lxFUosZ.webm|3
68|The area was named after the town of Killarney in Ireland.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {area}, {named}, {Killarney} and {Ireland}.|Sarcastic|2022-06-03 11:19:07.999249|Complete|Female|20s|4|wavs/recorded_audio_ME19gtx.webm|3
69|Yanagi's hobbies are hanging with friends and karaoke.|{user_id} said {transcription} With a {emotion} voice.|Sad|2022-06-03 11:19:53.424395|Complete|Female|20s|4|wavs/recorded_audio_r2kkK1M.webm|3
70|The processes transformed chocolate from an exclusive luxury to an inexpensive daily snack.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {chocolate}, {exclusive} and {inexpensive}.|Happy|2022-06-03 11:20:33.069593|Complete|Female|20s|4|wavs/recorded_audio_Y9Ax31D.webm|3
71|The American pilots learned quickly not to dogfight with the Zero.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {American}, {quickly} and {Zero}.|Excited|2022-06-03 11:22:48.429585|Complete|Female|20s|8|wavs/recorded_audio_J5QwGlc.webm|3
72|"It is the first game in the ""Saints Row"" series."|{user_id} said {transcription} With a {emotion} voice.|Happy|2022-06-03 11:24:02.222086|Complete|Female|20s|4|wavs/recorded_audio_Mhiuz8D.webm|3
73|Unfortunately, Adam overloads the computer, frying the system.|Placing emphasis on {Unfortunately} and {Adam}, {user_id} said {transcription}.|Happy|2022-06-03 11:24:47.057597|Complete|Female|20s|3|wavs/recorded_audio_g2Eo93k.webm|3
74|Nepal Loktantrik Primary School is one of the schools in the district.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {Nepal Loktantrik Primary School} and {district}.|Surprised|2022-06-03 11:25:45.181965|Complete|Female|20s|5|wavs/recorded_audio_NDN6Tmo.webm|3
75|In the same article, Gardner denied that he condoned pedophilia.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {same article} and {pedophilia}.|Sarcastic|2022-06-03 11:27:52.206615|Complete|Female|20s|5|wavs/recorded_audio_ux98Sz3.webm|3
76|During her literary career, she has written poetry, drama, tales and essays.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {written}, and {and essays}.|Surprised|2022-06-03 11:28:46.867001|Complete|Female|20s|6|wavs/recorded_audio_sMi3N5y.webm|3
77|Dozier was born in Arcadia, Florida.|{user_id} said {transcription} With a {emotion} voice.|Sad|2022-06-03 11:30:42.325200|Complete|Female|20s|4|wavs/recorded_audio_j8iAgk4.webm|3
78|The order of taper-bearer is now used as part of ordination as a lector.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {order}, {now used} and {ordination}.|Angry|2022-06-03 11:34:16.025435|Complete|Female|20s|8|wavs/recorded_audio_3eE8Svc.webm|3
79|He was raised a Christian despite his father being of Jewish descent.|Placing emphasis on {raised a Christian} and {Jewish descent}, {user_id} said {transcription}.|Surprised|2022-06-03 11:35:09.563508|Complete|Female|20s|5|wavs/recorded_audio_eVCnmzH.webm|3
80|The airport is the second largest cargo terminal in Brazil.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {airport} and {terminal in Brazil}.|Angry|2022-06-03 11:35:47.353802|Complete|Female|20s|8|wavs/recorded_audio_Z51909t.webm|3
81|It attracts a lot of anglers come for fishing mahasher fish.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {a lot} and {mahasher}.|Disgust|2022-06-03 11:44:55.334798|Complete|Female|20s|5|wavs/recorded_audio_CHEvFMf.webm|3
82|He was born on a farm near Pugwash, Nova Scotia.|{user_id} said {transcription} With a {emotion} voice.|Sarcastic|2022-07-06 08:21:03.207685|Complete|Female|20s|4|wavs/recorded_audio_VD1lFmL.webm|3
83|So where are the language borders?|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {where} and {language borders}.|Angry|2022-06-03 11:46:25.151344|Complete|Female|20s|8|wavs/recorded_audio_03k88ok.webm|3
84|It is popularly known as the Miracle Symphony.|{user_id} said {transcription} With a {emotion} voice.|Happy|2022-06-03 11:49:18.807556|Complete|Female|20s|3|wavs/recorded_audio_H4e8CWV.webm|3
85|Starfighters are equipped with different weaponry which can be highly effective in certain missions.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {different}, {highly effective} and {in certain}.|Surprised|2022-06-03 11:50:53.452719|Complete|Female|20s|5|wavs/recorded_audio_2U3vgyn.webm|3
86|The agreeableness trait reflects individual differences in general concern for social harmony.|Placing emphasis on {individual} and {social harmony}, {user_id} said {transcription}.|Happy|2022-06-03 11:52:17.599825|Complete|Female|20s|3|wavs/recorded_audio_ro2dOpZ.webm|3
87|On the lower back there are three tapering red bars.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {three}, {tapering}, and {red}.|Sad|2022-07-06 08:22:13.108734|Complete|Female|20s|7|wavs/recorded_audio_viKkUCZ.webm|3
88|Eventually, enough were dissuaded from this action.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {Eventually} and {enough}.|Excited|2022-06-03 11:55:27.733294|Complete|Female|20s|6|wavs/recorded_audio_Jt4Ucga.webm|3
89|Ambient sounds make relaxing environments.|{user_id} said {transcription} With a {emotion} voice.|Sad|2022-06-03 11:56:12.928011|Complete|Female|20s|6|wavs/recorded_audio_hZrSXbD.webm|3
90|Here, at any rate, I could get early news of my enemies.|{user_id} said {transcription}.|Neutral|2022-06-03 11:57:14.227292|Complete|Female|20s|0|wavs/recorded_audio_8nTfpVQ.webm|3
91|Now, what’s the next thing?|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {Now}.|Disgust|2022-06-03 11:58:27.307439|Complete|Female|20s|3|wavs/recorded_audio_mn1tydd.webm|3
92|He only shook his head.|{user_id} said {transcription} With a {emotion} voice.|Happy|2022-06-03 11:58:58.912625|Complete|Female|20s|2|wavs/recorded_audio_BQjphOt.webm|3
93|She hugs her slightly bewildered sister.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {hugs} and {slightly bewildered sister}.|Angry|2022-06-03 12:00:21.665454|Complete|Female|20s|8|wavs/recorded_audio_qSWtEF5.webm|3
94|However, when it comes to neural adaptation, one has no conscious control over it.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {when it comes} and {neural adaptation}.|Sad|2022-06-03 12:01:03.059913|Complete|Female|20s|6|wavs/recorded_audio_1vl4Wis.webm|3
95|However, this method offers significantly less security than the one for individual transfers.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {However}, {significantly less security} and {individual}.|Happy|2022-06-03 12:02:10.531536|Complete|Female|20s|4|wavs/recorded_audio_RxEsJkZ.webm|3
96|This kind of transaction is referred to as a spot transaction or simply spot.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {spot}.|Sad|2022-06-03 12:03:26.695351|Complete|Female|20s|6|wavs/recorded_audio_9ZWk7in.webm|3
97|Its normal clutch is three eggs.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {clutch}.|Happy|2022-06-03 12:03:55.056533|Complete|Female|20s|4|wavs/recorded_audio_JVCFmAC.webm|3
98|In most theaters it corresponds more or less to the seventh row of seats.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {theaters}.|Sarcastic|2022-06-03 12:05:05.657780|Complete|Female|20s|5|wavs/recorded_audio_XPwaOQh.webm|3
99|There are many famous African and African-descended people named Ilunga.|Placing emphasis on {many}, {Ilunga} and {African}, {user_id} said {transcription}.|Disgust|2022-06-03 12:06:42.294049|Complete|Female|20s|5|wavs/recorded_audio_9ZDJqc8.webm|3
100|There are two small churches, one Church of England and one Methodist.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {two} and {one Methodist}.|Sad|2022-06-03 12:07:25.131137|Complete|Female|20s|6|wavs/recorded_audio_68kBy4q.webm|3
101|She was born in Saint-Denis, France, to Moroccan parents.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {Saint-Denis} and {Moroccan parents}.|Sarcastic|2022-06-03 12:57:10.353553|Complete|Female|20s|3|wavs/recorded_audio_FfSibsQ.webm|3
102|Bereziartu designs and creates her own resin holds to sell for inside rock walls.|{user_id} said {transcription} With a {emotion} voice.|Disgust|2022-06-03 13:00:05.737529|Complete|Female|20s|4|wavs/recorded_audio_BTTEWK8.webm|3
103|His writing is filled with authentic snatches of conversation, proverbs, and folk wisdom.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {writing}, {authentic} and {and folk wisdom}.|Surprised|2022-06-03 13:00:51.149284|Complete|Female|20s|5|wavs/recorded_audio_cQrm4PG.webm|3
104|This is an ancient Hindu festival whose origin date is unknown.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {an ancient Hindu festival} and {unknown}.|Angry|2022-06-03 13:01:59.425661|Complete|Female|20s|8|wavs/recorded_audio_rwaOHTp.webm|3
105|The rulers of Bar were not created dukes by imperial appointment.|Placing emphasis on {The rulers of Bar} and {imperial appointment}, {user_id} said {transcription}.|Angry|2022-06-19 13:43:08.156652|Complete|Female|20s|8|wavs/recorded_audio_ysyuZGU.webm|3
106|Pigments found in the fruiting body of Scleroderma citrinum Pers.|{user_id} said {transcription} With a {emotion} voice.|Happy|2022-06-03 13:05:50.714999|Complete|Female|20s|4|wavs/recorded_audio_DL7lHx4.webm|3
107|Ptolemy mentioned a place by the name 'Tabawa', at the northwestern corner of Arabia.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {Tabawa} and {corner of Arabia}.|Surprised|2022-06-03 13:07:30.909044|Complete|Female|20s|5|wavs/recorded_audio_UPDFTR2.webm|3
108|This was after a meeting with psychoanalyst Ingo Hartmann.|{user_id} said {transcription} With a {emotion} voice.|Neutral|2022-06-03 13:08:38.928875|Complete|Female|20s|0|wavs/recorded_audio_NyMN1w6.webm|3
109|The lease is due to expire.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {expire}.|Sarcastic|2022-06-03 13:09:22.397895|Complete|Female|20s|3|wavs/recorded_audio_nPCnhWa.webm|3
110|Is this some sort of test?|{user_id} said {transcription} With a {emotion} voice.|Excited|2022-06-03 13:10:55.712963|Complete|Female|20s|6|wavs/recorded_audio_P7YJdYT.webm|3
111|The grace notes were sung perfectly by the soprano, but badly by the alto|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {perfectly}, {soprano} and {badly}.|Sarcastic|2022-06-03 13:12:54.241140|Complete|Female|20s|5|wavs/recorded_audio_lJqP5jP.webm|3
112|Algebra is a foundation of Machine Learning.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {Algebra} and {Machine Learning}.|Happy|2022-06-03 13:13:21.872471|Complete|Female|20s|3|wavs/recorded_audio_i9Wd4Fs.webm|3
113|In his junior year he was the gold medallist of his class.|Placing emphasis on {junior year} and {of his class}, {user_id} said {transcription}.|Sarcastic|2022-06-03 13:14:53.096941|Complete|Female|20s|4|wavs/recorded_audio_3np80RT.webm|3
114|The settlement had eight villagers and two smallholders.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {had eight villagers} and {two smallholders}.|Angry|2022-06-03 13:15:42.721592|Complete|Female|20s|8|wavs/recorded_audio_02jmPGL.webm|3
115|McMahon resigned soon afterward.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {resigned}.|Sad|2022-06-03 13:16:49.214948|Complete|Female|20s|7|wavs/recorded_audio_wdm2Rvd.webm|3
116|The celebrations on the podium were also muted.|{user_id} said {transcription} With a {emotion} voice.|Happy|2022-06-03 13:17:40.395931|Complete|Female|20s|5|wavs/recorded_audio_qFJEweA.webm|3
117|"""Bullets over Broadway"", ""The Shawshank Redemption"", ""Pulp Fiction"" tied for second with seven each."|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {Bullets}, {Pulp Fiction}, {tied for second}, {seven each} and {The Shawshank Redemption}.|Excited|2022-06-03 13:18:49.986608|Complete|Female|20s|8|wavs/recorded_audio_6IOLLkf.webm|3
118|Its eggs are white with fine reddish spots.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {eggs are white} and {fine}.|Excited|2022-06-03 13:20:11.736419|Complete|Female|20s|7|wavs/recorded_audio_xhcMDR3.webm|3
